name,type,latitude,longitude,province,city
Cerro Zapaleri,peak boundary_stone,-22.814085,-67.1804928,,
Cerro Nevado de Los Tambillos,peak,-28.9593686,-69.7550443,,
Grillos,peak,-27.1596805,-68.6338264,,
Co. Arrieros,peak,-27.150814,-68.6374313,,
Nevado Ojos del Salado,volcano,-27.1095372,-68.5414835,,
Cerro Colorado,peak,-28.3089572,-69.5146608,,
Cerro Rincón,peak,-24.0344,-67.3223085,,
Hito XV-11 A,boundary_stone,-27.1462916,-68.8168305,,
Hito XVI-5 A,boundary_stone,-25.4276695,-68.5864784,,
Nevado San Francisco,volcano,-26.9191726,-68.2632095,,
Cerro Puntiagudo y Lamas,peak,-27.1526342,-68.8069707,,
Volcán Fraile,volcano,-27.0485909,-68.3794588,,
Arrieros / Chullo Bayo,peak,-27.1364626,-68.6551124,,
Pedregoso,peak,-27.1037584,-68.6686737,,
Cerro Tridente,peak,-26.2871033,-68.5575358,,
Cerro Atalaya,peak,-25.2985069,-68.5457747,,
Cerro Solo,volcano,-27.104851,-68.7135202,,
Volcán Ata,volcano,-27.1788617,-68.5724949,,
Nevado Tres Cruces,volcano,-27.0988677,-68.7781902,,
Volcán Incahuasi,volcano,-27.03359,-68.2959916,,
Cumbre de la Línea,peak,-26.813873,-68.3479455,,
Sierra Nevada de Lagunas Bravas,peak,-26.4929356,-68.5873359,,
Cerro Vidal Gormaz,peak,-27.7952581,-69.0958197,,
Paso de la Laguna de la Overa III,saddle,-31.1444628,-70.4127503,,
Cerro Riscado,peak,-32.6575195,-70.1492771,,
Nevado Olivares,peak,-30.2985672,-69.9008855,,
Cerro Don Damasio,peak,-32.6447968,-70.1521329,,
Cerro Las Tórtolas,peak,-29.9393801,-69.9068522,,
Hito X-38,boundary_stone,-36.4094217,-70.889538,,
Cerro Beatriz,peak,-40.9039299,-71.8648247,,
Cerro Punta Arena,peak,-39.1649664,-71.4010081,,
Cerro Barrancas,peak,-36.1714645,-70.4471576,,
Paso Carirriñe,saddle,-39.7898093,-71.6817251,,
Cerro Nevado Cónico,peak,-37.3850766,-71.190986,,
Cerro Pirehueico,peak,-40.0498336,-71.682111,,
Cerro Cristales,peak,-36.1581498,-70.5724772,,
Cerro Punta Colorada,peak,-40.8803281,-71.8813862,,
Cerro Peñascoso,peak,-40.4098182,-71.6987137,,
Cerro Punta Negra,peak,-40.29886,-71.6808665,,
Cerro Bayo,peak,-38.5883883,-70.8316147,,
Cerro Mirador,peak,-40.6890681,-71.9205367,,
Hito X-41,boundary_stone,-36.4176787,-70.7081794,,
Cerro Pulul,peak,-38.1785648,-70.9951544,,
Cerro El Fin,peak,-37.5765827,-71.1272835,,
Cerro Tralihue,peak,-38.5093934,-70.8989543,,
Monte Aymond,volcano boundary_stone,-52.1516536,-69.4863161,,
Hito II-XI,boundary_stone,-52.1504426,-69.1901446,,
Hito II-XVIII,boundary_stone,-52.0007436,-69.9955041,,
Hito II-VI,boundary_stone,-52.2854896,-68.7096966,,
Hito II-III,boundary_stone,-52.329468,-68.5135517,,
Hito II-IV Monte Dinero,boundary_stone,-52.3251743,-68.5734718,,
Hito III-4 Diana Nº 2,boundary_stone,-51.91483,-71.9453386,,
Cerro Pietrobelli,peak,-50.5350692,-73.3574724,,
Cerro Torino Este,peak,-49.8616667,-73.5005556,,
Mojón B,boundary_stone,-46.5891698,-71.6619415,,
Hito VI-28 A,boundary_stone,-44.5498525,-71.098292,,
Hito VI-31,boundary_stone,-44.4653602,-71.1435513,,
Hito VI-23 Nacimiento Río Moro,boundary_stone,-44.7786099,-71.6048956,,
Cerro Acantilado Las Margaritas,peak,-45.6177096,-71.7726162,,
Paso Kozlowski,saddle,-44.9206767,-71.9485402,,
Hito VI-19 (36),boundary_stone,-45.1507014,-71.4591014,,
Cerro Ver,peak,-43.2044602,-71.732322,,
Cerro Aguja Sur,peak,-42.1622781,-71.8354368,,
Hito VII-2B BPL 2,boundary_stone,-43.8554014,-71.7082853,,
Cerro Mirador,peak,-41.5719951,-71.8500343,,
Cerro Verde,peak,-41.5518979,-71.8283446,,
Hito VII-4 F,boundary_stone,-43.5000364,-71.8723172,,
Cerro Guayaques,peak,-22.8982742,-67.5673859,,
Misión Fagnano,hostel,-54.5274159,-67.2301145,,
Palacio San José,museum,-32.4266368,-58.5238587,,Caseros
Puerto Valle,hotel,-27.6063257,-56.4348929,,
Cabañas San Miguel,hotel,-29.1848787,-67.4768834,,Chilecito
Termas de Reyes,hotel,-24.1710847,-65.4891749,,
El Páramo,ruins,-53.0692082,-68.2430584,,
Establecimiento Las Costas,hotel,-24.7719173,-65.4951507,,
Estancia L. Lorenzo,ruins,-49.0263539,-67.6010785,,
Esquina Diego A. Maradona,attraction,-34.6008201,-58.5182247,,
El Tren del Fin del Mundo,attraction,-54.8331906,-68.4237957,,
Museo Evita - Instituto Nacional Eva Perón De Investigaciones Históricas,museum,-34.5807452,-58.4147393,,Ciudad Autónoma de Buenos Aires
Museo Nacional Ferroviario,museum,-34.5898239,-58.3787619,,
República de Italia,memorial,-34.9107165,-57.9552532,,
El Faro de la Cultura - Monumento al Ingeniero,monument,-34.8973753,-57.9740016,,
Cerro Mercedario,peak,-31.9792688,-70.1130909,,
Monte Pissis,volcano,-27.7551789,-68.7992115,,
Cerro Bonete Chico,peak,-28.0188231,-68.7562866,,
Camping Municipal Piramides,camp_site,-42.5735943,-64.2793643,,
Portal del Sol,hotel,-31.4251727,-64.4939458,,
Oficina de Turismo,information,-28.5221741,-59.041606,,
Paso Pircas Negras,peak,-28.0123568,-69.2919177,,
Hombre Urbano,artwork,-31.4227794,-64.1726774,,
Monumento a Manuel Belgrano,monument,-31.4310608,-64.1688986,,
Monumento a Eva Perón,monument,-31.4319836,-64.169817,,
Basílica de Santo Domingo,attraction,-31.4152184,-64.1871977,,
Dorá,hotel,-38.0031508,-57.5429812,,
Astor,hotel,-38.0008788,-57.5426106,,
Mirante Foz do Iguaçu,viewpoint,-25.6870818,-54.4396479,,
Lobos Marinos,attraction,-38.0496339,-57.5333991,,
Torre Tanque,viewpoint,-25.6834068,-54.4461231,,
Mirador Salto Eva,viewpoint,-25.6860093,-54.446133,,
Salto Mbiguá,viewpoint,-25.6874518,-54.4453869,,
Mirador Dos Hermanas,viewpoint,-25.6836552,-54.4454639,,
Mirador Salto Chico,viewpoint,-25.6848549,-54.4454974,,
Nicolás Donato,memorial,-34.5318849,-58.731621,,
Hi! Patagonia,hostel,-42.7741392,-65.0280075,,
Salto Tabay,attraction,-26.9993903,-55.1778105,,Jardín América
Gruta India,cave_entrance,-26.7586574,-54.9234052,,
Salto Encantado,attraction,-27.0584774,-54.8280556,,Santo Encantado
Salto Capioví,attraction,-26.9246673,-55.0619434,,
Salto Tres de Mayo,attraction,-26.7591005,-54.923485,,Paraje Tres de Mayo
Punta del Canario,cape,-33.038178,-60.5576384,,
Punta Armado,cape,-32.8107359,-60.6901342,,
Monumento del Cristo Redentor,attraction  monument,-32.8252847,-70.0707525,,
Cerro Caracoles,peak,-32.8002976,-70.1080069,,
Cerro El Horno,peak,-35.0059157,-70.3643899,,
Morro del Atravieso,peak,-34.4492996,-70.0551612,,
Cerro Manchado,peak,-33.9628912,-69.8532465,,
Punta Portillo,peak,-33.9141721,-69.8757184,,
Cerro Punta Cuba,peak,-33.8609521,-69.8733073,,
Cerro Villagra,peak,-35.2027436,-70.4704714,,
Hito XI-25,boundary_stone,-35.2036798,-70.4820108,,
Volcán Peteroa,volcano,-35.2576188,-70.5797707,,
Refugio San Martín / Refugio Jakob,alpine_hut,-41.1867539,-71.5610164,,
Terraza Panorámica,viewpoint,-41.1446124,-71.3758014,,
